model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.2.3,3,628065,0,0.00,722,0,0.807,0,0,0,0,310
v3.0.4,3,747430,0,0.08,229547,0,0.905,1,0,0,26395,41518
v3.0.4,3,576927,0,0.06,229823,0,0.866,1,0,0,20551,41669
v3.2.3,1,892161,0,0.07,196364,0,0.783,1,0,0,42182,41843
v3.0.4,3,901800,0,0.00,674,0,0.428,0,0,0,0,310
v3.2.4,1,425927,0,0.00,722,0,0.511,0,0,0,0,310
v3.0.4,3,95233,0,0.05,223188,0,0.767,1,0,0,12305,40637
v3.0.4,3,51117,0,0.05,230195,0,0.704,1,0,0,11691,41427
v3.2.4,1,364600,0,0.00,924,0,0.458,0,0,0,0,518
v3.0.4,3,402690,0,0.06,230093,0,0.77,1,0,0,21508,40994
v3.2.4,1,120731,0,0.00,1227,0,0.535,0,0,0,0,826
v3.0.4,1,153548,0,0.07,193003,0,0.887,1,0,0,37552,39830
