model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.2.4,3,915694,0,5.02,850324,0,19.358,1,0,0,286579,81375
v3.2.3,3,362311,0,0.00,823,0,1.189,0,0,0,0,414
v3.2.4,1,2360,0,0.06,197610,0,1.085,1,0,0,12808,41415
v3.2.3,3,380831,0,0.00,1025,0,1.083,0,0,0,0,620
v3.0.4,3,875187,0,0.07,224813,0,0.915,1,0,0,23725,40039
v3.2.3,3,490851,0,0.00,722,0,1.123,0,0,0,0,312
v3.2.3,1,835223,0,0.00,924,0,0.607,0,0,0,0,516
v3.2.4,3,579228,0,22.57,856212,0,20.285,1,0,0,1657749,82502
v3.0.4,1,346195,0,5.28,187484,0,1.376,0,0,0,260397,38711
v3.2.3,1,193853,0,0.09,197691,0,0.955,1,0,0,57392,41413
v3.2.4,1,518165,0,0.00,722,0,0.498,0,0,0,0,310
v3.2.3,1,858252,0,0.00,722,0,0.586,0,0,0,0,310
v3.2.3,3,272127,0,11.86,679409,0,2.048,1,0,0,956347,64231
v3.2.4,1,586429,0,0.05,189676,0,0.751,1,0,0,25496,39993
v3.2.4,3,866156,0,0.00,924,0,1.69,0,0,0,0,518
v3.0.4,1,600679,0,0.00,876,0,0.681,0,0,0,0,516
v3.2.4,1,574145,0,0.06,194000,0,0.76,1,0,0,32199,41473
v3.2.4,3,415836,0,0.00,924,0,1.981,0,0,0,0,516
v3.2.3,3,509237,0,10.31,681991,0,2.292,1,0,0,661994,64717
v3.0.4,1,222478,0,0.07,194272,0,0.883,1,0,0,34623,40266
v3.2.4,1,182064,0,0.00,924,0,0.613,0,0,0,0,516
v3.2.3,1,600679,0,0.00,924,0,0.752,0,0,0,0,516
v3.2.3,3,555305,0,8.99,670345,0,2.517,1,0,0,547651,63225
v3.2.3,1,877282,0,0.05,189779,0,0.906,1,0,0,18132,40389
v3.2.4,3,36992,0,8.36,855709,0,20.287,1,0,0,465009,82586
v3.0.4,1,275318,0,0.00,1078,0,0.584,0,0,0,0,722
v3.2.3,1,36909,0,0.00,924,0,0.463,0,0,0,0,516
v3.2.3,1,657827,0,0.00,1126,0,0.466,0,0,0,0,722
v3.2.4,3,172741,0,0.00,924,0,1.886,0,0,0,0,516
v3.2.4,3,975064,0,8.22,860056,0,18.156,1,0,0,430748,83292
v3.2.4,1,713425,0,0.05,203706,0,0.874,1,0,0,15411,42664
v3.2.3,1,490256,0,0.00,924,0,0.693,0,0,0,0,516
v3.0.4,1,36851,0,0.00,977,0,0.446,0,0,0,0,620
v3.2.3,1,890260,0,0.06,196066,0,0.698,1,0,0,19562,41345
v3.2.4,3,703918,0,0.00,823,0,1.598,0,0,0,0,414
v3.2.4,1,287519,0,0.05,198773,0,0.746,1,0,0,34419,41829
v3.2.4,1,549624,0,0.06,191290,0,0.812,1,0,0,25509,40880
v3.0.4,1,399851,0,0.04,192103,0,0.744,1,0,0,14421,39664
v3.0.4,1,950512,0,0.00,1280,0,0.52,0,0,0,0,928
v3.2.3,1,725761,0,0.00,722,0,0.463,0,0,0,0,310
v3.0.4,1,469973,0,0.00,876,0,0.498,0,0,0,0,516
v3.2.3,1,798783,0,0.06,194971,0,0.807,1,0,0,46075,41538
v3.0.4,1,766482,0,0.00,977,0,0.611,0,0,0,0,620
v3.0.4,1,194088,0,0.00,674,0,0.879,0,0,0,0,310
v3.2.3,3,538964,0,22.31,670484,0,1.959,1,0,0,1989238,62737
v3.0.4,3,368297,0,0.00,876,0,0.62,0,0,0,0,516
v3.0.4,1,351057,0,0.05,187783,0,0.693,1,0,0,30720,39633
v3.2.3,1,723031,0,0.00,1126,0,0.497,0,0,0,0,722
v3.2.3,1,115981,0,0.00,1328,0,0.575,0,0,0,0,928
v3.2.4,3,484156,0,25.53,855152,0,22.419,0,0,0,1487026,82354
v3.2.4,3,382127,0,0.00,823,0,2.028,0,0,0,0,414
v3.0.4,1,446842,0,0.20,184660,0,0.868,0,0,0,30267,38712
v3.2.3,1,263885,0,0.00,1025,0,0.515,0,0,0,0,620
v3.0.4,1,866065,0,0.06,187576,0,0.812,1,0,0,30504,38960
v3.2.4,1,604731,0,0.00,924,0,0.484,0,0,0,0,518
v3.0.4,3,732180,0,0.06,228188,0,0.699,1,0,0,33209,40824
v3.0.4,1,660605,0,0.00,472,0,0.516,0,0,0,0,104
v3.0.4,1,514648,0,0.05,182995,0,0.752,1,0,0,16909,38373
v3.0.4,1,288450,0,0.00,876,0,0.572,0,0,0,0,516
v3.2.4,3,960523,0,1.56,851017,0,19.752,1,0,0,175625,82108
v3.0.4,3,401745,0,0.06,231067,0,0.814,1,0,0,14003,41119
v3.2.3,1,364644,0,0.00,1025,0,0.455,0,0,0,0,620
v3.0.4,3,885021,0,0.06,231555,0,0.779,1,0,0,41730,41824
v3.0.4,1,756123,0,0.05,193058,0,0.801,1,0,0,16558,40327
v3.0.4,1,694480,0,0.06,187707,0,0.758,1,0,0,30437,38836
v3.2.3,1,703438,0,0.00,924,0,0.547,0,0,0,0,516
v3.0.4,1,539379,0,0.00,573,0,0.564,0,0,0,0,208
v3.0.4,3,788995,0,0.00,876,0,0.627,0,0,0,0,516
v3.2.4,1,123077,0,0.07,195636,0,0.859,1,0,0,34306,41709
v3.2.3,1,186782,0,0.06,198824,0,0.863,1,0,0,35505,41955
v3.2.4,3,437372,0,0.00,823,0,1.734,0,0,0,0,414
v3.2.4,1,921814,0,0.07,200938,0,0.872,1,0,0,46485,42366
v3.2.4,1,565071,0,0.05,190095,0,1.252,1,0,0,20401,40545
v3.0.4,1,623733,0,0.00,775,0,0.664,0,0,0,0,414
v3.2.4,1,148461,0,0.00,1328,0,0.543,0,0,0,0,928
v3.2.4,1,257838,0,0.00,823,0,0.494,0,0,0,0,414
v3.2.4,3,832369,0,8.13,859001,0,21.974,1,0,0,414577,82614
v3.0.4,1,337428,0,0.00,1280,0,0.585,0,0,0,0,928
v3.0.4,1,255135,0,0.00,977,0,0.524,0,0,0,0,620
v3.2.3,1,331283,0,0.08,192113,0,0.884,1,0,0,44090,40633
v3.2.3,1,176104,0,0.07,192812,0,0.763,1,0,0,61843,40850
v3.2.3,3,245547,0,0.00,924,0,0.817,0,0,0,0,516
v3.0.4,3,241310,0,0.08,230881,0,0.83,1,0,0,54885,41350
v3.2.3,1,174732,0,0.00,1328,0,0.634,0,0,0,0,928
v3.2.4,3,148612,0,0.00,722,0,1.878,0,0,0,0,310
v3.2.4,1,258061,0,0.00,924,0,0.529,0,0,0,0,518
v3.2.3,1,523048,0,0.00,1126,0,0.621,0,0,0,0,724
v3.2.3,1,194088,0,0.00,722,0,0.589,0,0,0,0,310
v3.0.4,3,395508,0,0.00,1078,0,0.542,0,0,0,0,722
v3.0.4,1,312337,0,0.07,192122,0,0.805,1,0,0,41713,40078
v3.0.4,1,183713,0,0.07,188545,0,0.972,1,0,0,30454,39127
v3.2.3,1,372865,0,0.00,924,0,0.485,0,0,0,0,516
v3.0.4,1,604731,0,0.00,876,0,0.486,0,0,0,0,518
v3.0.4,3,865695,0,0.07,238862,0,0.802,1,0,0,33215,42214
v3.0.4,1,196693,0,0.00,1078,0,0.635,0,0,0,0,722
v3.2.4,1,781829,0,0.07,199542,0,0.739,1,0,0,65154,42389
v3.2.3,1,81108,0,0.00,1025,0,0.57,0,0,0,0,620
v3.2.4,3,248116,0,0.00,823,0,1.781,0,0,0,0,414
v3.0.4,1,244251,0,0.00,1280,0,0.423,0,0,0,0,928
